Plugin ID,CVE,CVSS,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
"11219","","","None","alexanderfleming.com.br","tcp","22","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 22/tcp was found to be open"
"11936","","","None","alexanderfleming.com.br","tcp","0","OS Identification","It is possible to guess the remote operating system.","Using a combination of remote probes (e.g., TCP/IP, SMB, HTTP, NTP,
SNMP, etc.), it is possible to guess the name of the remote operating
system in use. It is also possible sometimes to guess the version of
the operating system.","n/a","","
Remote operating system : Linux Kernel 2.6
Confidence level : 65
Method : SinFP

 
The remote host is running Linux Kernel 2.6"
"12053","","","None","alexanderfleming.com.br","tcp","0","Host Fully Qualified Domain Name (FQDN) Resolution","It was possible to resolve the name of the remote host.","Nessus was able to resolve the fully qualified domain name (FQDN) of
the remote host.","n/a","","
177.101.149.31 resolves as tgdgcw.hospedagemweb.net.
"
"19506","","","None","alexanderfleming.com.br","tcp","0","Nessus Scan Information","This plugin displays information about the Nessus scan.","This plugin displays, for each tested host, information about the
scan itself :

  - The version of the plugin set.
  - The type of scanner (Nessus or Nessus Home).
  - The version of the Nessus Engine.
  - The port scanner(s) used.
  - The port range scanned.
  - Whether credentialed or third-party patch management
    checks are possible.
  - The date of the scan.
  - The duration of the scan.
  - The number of hosts scanned in parallel.
  - The number of checks done in parallel.","n/a","","Information about this scan : 

Nessus version : 7.2.0
Plugin feed version : 201809212051
Scanner edition used : Nessus
Scan type : Normal
Scan policy used : Full Scan
Scanner IP : 192.168.0.19
Port scanner(s) : nessus_syn_scanner 
Port range : default
Thorough tests : no
Experimental tests : no
Paranoia level : 1
Report verbosity : 2
Safe checks : yes
Optimize the test : yes
Credentialed checks : no
Patch management checks : None
CGI scanning : enabled
Web application tests : enabled
Web app tests -  Test mode : single
Web app tests -  Try all HTTP methods : no
Web app tests -  Maximum run time : 5 minutes.
Web app tests -  Stop at first flaw : CGI
Max hosts : 1
Max checks : 10
Recv timeout : 60
Backports : Detected
Allow post-scan editing: Yes
Scan Start Date : 2018/9/25 21:03 -04
Scan duration : 3119 sec
"
"21643","","","None","alexanderfleming.com.br","tcp","21","SSL Cipher Suites Supported","The remote service encrypts communications using SSL.","This plugin detects which SSL ciphers are supported by the remote
service for encrypting communications.","n/a","https://www.openssl.org/docs/man1.1.0/apps/ciphers.html
http://www.nessus.org/u?3a040ada","
Here is the list of SSL ciphers supported by the remote server :
Each group is reported per SSL Version.

SSL Version : TLSv12
  High Strength Ciphers (>= 112-bit key)

    DHE-RSA-AES128-SHA256        Kx=DH          Au=RSA      Enc=AES-GCM(128)         Mac=SHA256  
    DHE-RSA-AES256-SHA384        Kx=DH          Au=RSA      Enc=AES-GCM(256)         Mac=SHA384  
    ECDHE-RSA-AES128-SHA256      Kx=ECDH        Au=RSA      Enc=AES-GCM(128)         Mac=SHA256  
    ECDHE-RSA-AES256-SHA384      Kx=ECDH        Au=RSA      Enc=AES-GCM(256)         Mac=SHA384  
    RSA-AES128-SHA256            Kx=RSA         Au=RSA      Enc=AES-GCM(128)         Mac=SHA256  
    RSA-AES256-SHA384            Kx=RSA         Au=RSA      Enc=AES-GCM(256)         Mac=SHA384  
    DHE-RSA-AES128-SHA           Kx=DH          Au=RSA      Enc=AES-CBC(128)         Mac=SHA1   
    DHE-RSA-AES256-SHA           Kx=DH          Au=RSA      Enc=AES-CBC(256)         Mac=SHA1   
    DHE-RSA-CAMELLIA128-SHA      Kx=DH          Au=RSA      Enc=Camellia-CBC(128)    Mac=SHA1   
    DHE-RSA-CAMELLIA256-SHA      Kx=DH          Au=RSA      Enc=Camellia-CBC(256)    Mac=SHA1   
    ECDHE-RSA-AES128-SHA         Kx=ECDH        Au=RSA      Enc=AES-CBC(128)         Mac=SHA1   
    ECDHE-RSA-AES256-SHA         Kx=ECDH        Au=RSA      Enc=AES-CBC(256)         Mac=SHA1   
    AES128-SHA                   Kx=RSA         Au=RSA      Enc=AES-CBC(128)         Mac=SHA1   
    AES256-SHA                   Kx=RSA         Au=RSA      Enc=AES-CBC(256)         Mac=SHA1   
    CAMELLIA128-SHA              Kx=RSA         Au=RSA      Enc=Camellia-CBC(128)    Mac=SHA1   
    CAMELLIA256-SHA              Kx=RSA         Au=RSA      Enc=Camellia-CBC(256)    Mac=SHA1   
    DHE-RSA-AES128-SHA256        Kx=DH          Au=RSA      Enc=AES-CBC(128)         Mac=SHA256  
    DHE-RSA-AES256-SHA256        Kx=DH          Au=RSA      Enc=AES-CBC(256)         Mac=SHA256  
    ECDHE-RSA-AES128-SHA256      Kx=ECDH        Au=RSA      Enc=AES-CBC(128)         Mac=SHA256  
    ECDHE-RSA-AES256-SHA384      Kx=ECDH        Au=RSA      Enc=AES-CBC(256)         Mac=SHA384  
    RSA-AES128-SHA256            Kx=RSA         Au=RSA      Enc=AES-CBC(128)         Mac=SHA256  
    RSA-AES256-SHA256            Kx=RSA         Au=RSA      Enc=AES-CBC(256)         Mac=SHA256  


SSL Version : TLSv11
  High Strength Ciphers (>= 112-bit key)

    DHE-RSA-AES128-SHA           Kx=DH          Au=RSA      Enc=AES-CBC(128)         Mac=SHA1   
    DHE-RSA-AES256-SHA           Kx=DH          Au=RSA      Enc=AES-CBC(256)         Mac=SHA1   
    DHE-RSA-CAMELLIA128-SHA      Kx=DH          Au=RSA      Enc=Camellia-CBC(128)    Mac=SHA1   
    DHE-RSA-CAMELLIA256-SHA      Kx=DH          Au=RSA      Enc=Camellia-CBC(256)    Mac=SHA1   
    ECDHE-RSA-AES128-SHA         Kx=ECDH        Au=RSA      Enc=AES-CBC(128)         Mac=SHA1   
    ECDHE-RSA-AES256-SHA         Kx=ECDH        Au=RSA      Enc=AES-CBC(256)         Mac=SHA1   
    AES128-SHA                   Kx=RSA         Au=RSA      Enc=AES-CBC(128)         Mac=SHA1   
    AES256-SHA                   Kx=RSA         Au=RSA      Enc=AES-CBC(256)         Mac=SHA1   
    CAMELLIA128-SHA              Kx=RSA         Au=RSA      Enc=Camellia-CBC(128)    Mac=SHA1   
    CAMELLIA256-SHA              Kx=RSA         Au=RSA      Enc=Camellia-CBC(256)    Mac=SHA1   


SSL Version : TLSv1
  High Strength Ciphers (>= 112-bit key)

    DHE-RSA-AES128-SHA           Kx=DH          Au=RSA      Enc=AES-CBC(128)         Mac=SHA1   
    DHE-RSA-AES256-SHA           Kx=DH          Au=RSA      Enc=AES-CBC(256)         Mac=SHA1   
    DHE-RSA-CAMELLIA128-SHA      Kx=DH          Au=RSA      Enc=Camellia-CBC(128)    Mac=SHA1   
    DHE-RSA-CAMELLIA256-SHA      Kx=DH          Au=RSA      Enc=Camellia-CBC(256)    Mac=SHA1   
    ECDHE-RSA-AES128-SHA         Kx=ECDH        Au=RSA      Enc=AES-CBC(128)         Mac=SHA1   
    ECDHE-RSA-AES256-SHA         Kx=ECDH        Au=RSA      Enc=AES-CBC(256)         Mac=SHA1   
    AES128-SHA                   Kx=RSA         Au=RSA      Enc=AES-CBC(128)         Mac=SHA1   
    AES256-SHA                   Kx=RSA         Au=RSA      Enc=AES-CBC(256)         Mac=SHA1   
    CAMELLIA128-SHA              Kx=RSA         Au=RSA      Enc=Camellia-CBC(128)    Mac=SHA1   
    CAMELLIA256-SHA              Kx=RSA         Au=RSA      Enc=Camellia-CBC(256)    Mac=SHA1   

The fields above are :

  {OpenSSL ciphername}
  Kx={key exchange}
  Au={authentication}
  Enc={symmetric encryption method}
  Mac={message authentication code}
  {export flag}

Note that this service does not encrypt traffic by default but does
support upgrading to an encrypted connection using STARTTLS.
"
"24260","","","None","alexanderfleming.com.br","tcp","80","HyperText Transfer Protocol (HTTP) Information","Some information about the remote HTTP configuration can be extracted.","This test gives some information about the remote HTTP protocol - the
version used, whether HTTP Keep-Alive and HTTP pipelining are enabled,
etc... 

This test is informational only and does not denote any security
problem.","n/a","","
Response Code : HTTP/1.1 302 Moved Temporarily

Protocol version : HTTP/1.1
SSL : no
Keep-Alive : no
Options allowed : (Not implemented)
Headers :

  Server: nginx
  Date: Wed, 26 Sep 2018 01:27:12 GMT
  Content-Type: text/html
  Content-Length: 0
  Connection: keep-alive
  X-Powered-By: PHP/5.3.29
  Location: http://www.alexanderfleming.com.br/site
  X-Powered-By: PleskLin
  X-Powered-By: PleskLin
  
Response Body :

"
"39520","","","None","alexanderfleming.com.br","tcp","22","Backported Security Patch Detection (SSH)","Security patches are backported.","Security patches may have been 'backported' to the remote SSH server
without changing its version number. 

Banner-based checks have been disabled to avoid false positives. 

Note that this test is informational only and does not denote any
security problem.","n/a","https://access.redhat.com/security/updates/backporting/?sc_cid=3093","
Give Nessus credentials to perform local checks.
"
"42149","","","None","alexanderfleming.com.br","tcp","21","FTP Service AUTH TLS Command Support","The remote directory service supports encrypting traffic.","The remote FTP service supports the use of the 'AUTH TLS' command to
switch from a cleartext to an encrypted communications channel.","n/a","https://en.wikipedia.org/wiki/STARTTLS
https://tools.ietf.org/html/rfc4217","
Here is the FTP server's SSL certificate that Nessus was able to
collect after sending a 'AUTH TLS' command :

------------------------------ snip ------------------------------
Subject Name: 

Common Name: tgdgcw.hospedagemweb.net

Issuer Name: 

Country: US
Organization: Let's Encrypt
Common Name: Let's Encrypt Authority X3

Serial Number: 03 E0 6F 91 78 A4 A9 B3 AE E0 23 EB 18 0F 80 7C 73 F4 

Version: 3

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: Sep 14 19:07:12 2018 GMT
Not Valid After: Dec 13 19:07:12 2018 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 2048 bits
Public Key: 00 B4 02 E8 03 25 F2 FB 9D 27 EE 4C A2 5D DD 97 69 AA D6 E1 
            06 97 84 58 01 DA 0F 9D BB ED 65 52 41 56 D0 6E 72 8C 16 4C 
            86 4C F8 5E 6A 4C 97 D4 1E A2 7E 37 9A 6C AD C3 95 79 AA 37 
            18 3D A8 F5 57 12 9B 68 74 A5 E9 5E 94 60 55 C5 EE EA 2D E0 
            36 B0 BE 8B 35 D0 B9 CD 10 0B 4F 60 A6 93 25 45 2E 78 59 2F 
            34 A8 A6 E0 E1 D1 7B 6A AC C4 F3 7B 80 CD AD 91 EF D9 97 9B 
            55 1E BF 52 35 8B 23 E0 D8 A1 B6 CD 37 C7 26 C2 47 CC B1 46 
            53 18 57 08 CD 74 92 6F 51 FB 7C A4 81 B6 B1 00 95 B6 2F F7 
            C9 DF EF D0 CF A6 42 F1 20 F0 FE E5 96 9B 6A 48 44 05 C7 D9 
            9A 0A 56 3B 33 1D 8D 7C 0E 35 DE 95 44 34 6D 14 86 2D 90 56 
            2B 2E D4 61 01 21 C6 07 AD D5 63 E9 8C 21 AE 16 50 EB 5B 11 
            6C 3B 2F CA 0C AC EA EC 61 36 1D 95 91 96 70 87 85 61 F8 D2 
            63 6A C5 CB D8 F5 98 7E 41 E5 C6 2E D3 F9 BF 5A 39 
Exponent: 01 00 01 

Signature Length: 256 bytes / 2048 bits
Signature: 00 08 E3 65 88 F2 89 7C 0C 03 33 C2 92 32 EE 3F A5 DA 48 6A 
           55 A8 18 AC 03 FF 62 E5 2A 7B 18 92 B5 E9 BD 55 7A C7 61 2F 
           7B E8 F6 21 DA 57 24 33 13 56 48 42 70 D7 6E 0B A5 16 EA 00 
           AB 2B D6 27 55 7C 2E C7 C9 15 D8 01 71 6E EB 77 E1 6D F4 08 
           D6 5D 88 94 81 CF 86 04 6E 61 4F 79 31 E5 8A 21 B8 1E 8C B9 
           A8 9F B7 13 10 46 6B 88 CD EF 39 4F 19 3B CA DB 43 E0 10 98 
           C8 71 45 92 E4 EA 56 F3 A0 37 D6 C9 A3 E4 0F 0E 49 34 3F 34 
           EA 60 78 76 30 6D 9C 06 DA 29 A7 15 2E F5 CA 2E F5 2D 69 40 
           BE D0 3D 9E 1F 3C 2A 8F 1C 99 02 ED 78 1D 55 BE FB 9C 06 18 
           BD 79 9F 87 74 D6 61 07 4E 91 89 6C 99 1D 83 85 75 56 DE 5D 
           F7 FD 85 D6 36 1E EB 39 E4 83 89 42 5D F7 31 75 29 68 07 0C 
           14 AA 9D DE 76 CF EA 77 1C 31 B5 74 75 23 FA 20 FE 69 43 25 
           92 39 DD E5 E8 35 EC B1 F8 AA FE E6 51 04 28 B6 8B 

Extension: Key Usage (2.5.29.15)
Critical: 1
Key Usage: Digital Signature, Key Encipherment


Extension: Extended Key Usage (2.5.29.37)
Critical: 0
Purpose#1: Web Server Authentication (1.3.6.1.5.5.7.3.1)
Purpose#2: Web Client Authentication (1.3.6.1.5.5.7.3.2)


Extension: Basic Constraints (2.5.29.19)
Critical: 1


Extension: Subject Key Identifier (2.5.29.14)
Critical: 0
Subject Key Identifier: 90 E9 C3 47 D4 B3 82 6D 9F 24 C2 45 4F 12 24 F2 9F 5F 7C 4D 


Extension: Authority Key Identifier (2.5.29.35)
Critical: 0
Key Identifier: A8 4A 6A 63 04 7D DD BA E6 D1 39 B7 A6 45 65 EF F3 A8 EC A1 


Extension: Authority Information Access (1.3.6.1.5.5.7.1.1)
Critical: 0
Method#1: Online Certificate Status Protocol
URI: http://ocsp.int-x3.letsencrypt.org
Method#2: Certificate Authority Issuers
URI: http://cert.int-x3.letsencrypt.org/


Extension: Subject Alternative Name (2.5.29.17)
Critical: 0
DNS: tgdgcw.hospedagemweb.net


Extension: Policies (2.5.29.32)
Critical: 0
Policy ID #1: 2.23.140.1.2.1
Policy ID #2: 1.3.6.1.4.1.44947.1.1.1
Qualifier ID #2: Certification Practice Statement (1.3.6.1.5.5.7.2.1)
CPS URI: http://cps.letsencrypt.org


Extension: 1.3.6.1.4.1.11129.2.4.2
Critical: 0
Data: 04 81 F3 00 F1 00 77 00 6F 53 76 AC 31 F0 31 19 D8 99 00 A4 
      51 15 FF 77 15 1C 11 D9 02 C1 00 29 06 8D B2 08 9A 37 D9 13 
      00 00 01 65 D9 B1 CA 77 00 00 04 03 00 48 30 46 02 21 00 87 
      06 24 91 AB F2 84 03 FA C7 19 0E 71 21 3F BA BB 65 14 8E 93 
      FA 2A 1C 57 C9 1E DF C2 E9 EC 4F 02 21 00 D8 66 AA DE E6 01 
      DB 75 D7 A4 D6 61 6C 71 FC 18 A7 19 0F F6 6E 58 49 91 33 9C 
      5C B0 CF 4C CE 1B 00 76 00 29 3C 51 96 54 C8 39 65 BA AA 50 
      FC 58 07 D4 B7 6F BF 58 7A 29 72 DC A4 C3 0C F4 E5 45 47 F4 
      78 00 00 01 65 D9 B1 CC 36 00 00 04 03 00 47 30 45 02 21 00 
      B4 86 1C 66 66 BB 66 9F A2 29 B3 6A 26 7C 9B 2D 42 80 46 07 
      BC 06 CC ED 18 15 40 D2 FE 50 34 64 02 20 01 87 6B 18 A9 3B 
      1F 99 E7 BC 02 B9 A8 FD 1A 2D 83 F9 DC FC 12 5F E8 90 6B 3A 
      E0 6B 95 42 21 5C 


------------------------------ snip ------------------------------
"
"43111","","","None","alexanderfleming.com.br","tcp","80","HTTP Methods Allowed (per directory)","This plugin determines which HTTP methods are allowed on various CGI
directories.","By calling the OPTIONS method, it is possible to determine which HTTP 
methods are allowed on each directory. 

As this list may be incomplete, the plugin also tests - if 'Thorough
tests' are enabled or 'Enable web applications tests' is set to 'yes'
in the scan policy - various known HTTP methods on each directory and
considers them as unsupported if it receives a response code of 400,
403, 405, or 501. 

Note that the plugin output is only informational and does not
necessarily indicate the presence of any security vulnerabilities.","n/a","","Based on the response to an OPTIONS request :

  - HTTP methods GET HEAD OPTIONS POST are allowed on : 

    /Templates
    /_notes
    /backup
    /cgi-local
    /css
    /downloads
    /icons
    /moodle
    /tmp


Based on tests of each method : 

  - HTTP methods ACL BASELINE-CONTROL BCOPY BDELETE BMOVE BPROPFIND 
    BPROPPATCH CHECKIN CHECKOUT COPY DEBUG DELETE GET HEAD INDEX 
    LABEL LOCK MERGE MKACTIVITY MKCOL MKWORKSPACE MOVE NOTIFY OPTIONS 
    ORDERPATCH PATCH POLL POST PROPFIND PROPPATCH PUT REPORT 
    RPC_IN_DATA RPC_OUT_DATA SEARCH SUBSCRIBE UNCHECKOUT UNLOCK 
    UNSUBSCRIBE UPDATE VERSION-CONTROL X-MS-ENUMATTS are allowed on : 

    /cgi-bin

  - HTTP methods GET HEAD OPTIONS POST are allowed on : 

    /
    /Templates
    /_notes
    /backup
    /cgi-local
    /css
    /downloads
    /icons
    /moodle

  - HTTP methods GET OPTIONS POST are allowed on : 

    /tmp

  - Invalid/unknown HTTP methods are allowed on :

    /cgi-bin
"
"45590","","","None","alexanderfleming.com.br","tcp","0","Common Platform Enumeration (CPE)","It was possible to enumerate CPE names that matched on the remote
system.","By using information obtained from a Nessus scan, this plugin reports
CPE (Common Platform Enumeration) matches for various hardware and
software products found on a host. 

Note that if an official CPE is not available for the product, this
plugin computes the best possible CPE based on the information
available from the scan.","n/a","http://cpe.mitre.org/
https://nvd.nist.gov/products/cpe","
The remote operating system matched the following CPE : 

  cpe:/o:linux:linux_kernel:2.6

Following application CPE's matched on the remote system :

  cpe:/a:openbsd:openssh:6.6 -> OpenBSD OpenSSH 6.6
  cpe:/a:php:php:5.3.29
"
"46803","","5.0","Medium","alexanderfleming.com.br","tcp","80","PHP expose_php Information Disclosure","The configuration of PHP on the remote host allows disclosure of
sensitive information.","The PHP install on the remote server is configured in a way that
allows disclosure of potentially sensitive information to an attacker
through a special URL.  Such a URL triggers an Easter egg built into
PHP itself. 

Other such Easter eggs likely exist, but Nessus has not checked for
them.","In the PHP configuration file, php.ini, set the value for
'expose_php' to 'Off' to disable this behavior.  Restart the web
server daemon to put this change into effect.","http://www.0php.com/php_easter_egg.php
http://seclists.org/webappsec/2004/q4/324","
Nessus was able to verify the issue using the following URL :

  http://alexanderfleming.com.br/index.php/?=PHPB8B5F2A0-3C92-11d3-A3A9-4C7B08C10000
"
